非承重墙,默认,AE-WALL,默认开,默认否,默认否,255,Continuous,默认,0,默认,是,非承重墙-砌块墙、整板墙、砌块、板材,9,nil,9
非承重墙,默认,AE-WALL-HACH,默认开,默认否,默认否,15,Continuous,默认,0,默认,是,非承重墙-墙体填充,9,nil,8
内门,默认,AE-DOOR-INSD,默认开,默认否,默认否,61,Continuous,默认,0,默认,是,内门,9,nil,9
外窗门,默认,AE-WIND,默认开,默认否,默认否,11,Continuous,默认,0,默认,是,外窗门-框截面、框看线、含幕墙玻璃,9,nil,9
设备,默认,AE-EQPM,默认开,默认否,默认否,70,Continuous,默认,0,默认,是,设备-电梯、自动扶梯，信报箱，车位，固定家具（柜台、吧台等）,9,nil,9
设备,默认,AE-EQPM-LIHT,默认开,默认否,默认否,52,Continuous,默认,0,默认,是,设备-灯具(泛光照明),9,nil,9
设备,默认,AE-EQPM-KICH,默认开,默认否,默认否,84,Continuous,默认,0,默认,是,设备-厨房设备（含烟道管）,9,nil,9
设备,默认,AE-EQPM-TOLT,默认开,默认否,默认否,70,Continuous,默认,0,默认,是,设备-卫生洁具,9,nil,9
设备,默认,AE-EQPM-ASSI,默认开,默认否,默认否,9,Continuous,默认,0,默认,是,设备-厨卫大样轮廓线,9,nil,9
设备,默认,AE-EQPM-SMAL,默认开,默认否,默认否,50,Continuous,默认,0,默认,是,设备-小型空调室内外机,9,nil,9
家具,默认,AE-FURN-MOVE,默认开,默认否,默认否,78,Continuous,默认,0,默认,是,家具-可移动家具,9,nil,9
边缘（楼地面）、阳台,默认,AE-FLOR,默认开,默认否,默认否,151,Continuous,默认,0,默认,是,边缘-建筑外边缘（女儿墙、窗台外边，悬空梁，透空，出挑雨蓬等），建筑内凸（设备基础，反梁，女儿墙、窗台内边门口高差线等），阳台外边缘，阳台翻边、内凸，阳台边梁,9,nil,9
边缘（上部）,默认,AE-ABOV,默认开,默认否,默认否,154,HIDDEN,默认,0,默认,是,边缘（上部）-上部洞口（室内），上部出挑（室外）,9,nil,9
梯、坡,默认,AE-STAR,默认开,默认否,默认否,51,Continuous,默认,0,默认,是,梯、坡-楼梯踏步及侧边缘，坡道起止线及侧边缘,9,nil,9
屋面,默认,AE-ROOF-RIDG,默认开,默认否,默认否,181,Continuous,默认,0,默认,是,屋面-屋脊,9,nil,9
屋面,默认,AE-ROOF,默认开,默认否,默认否,181,Continuous,默认,0,默认,是,屋面-分水线，瓦覆盖,9,nil,9
配件,默认,AE-HDWR,默认开,默认否,默认否,8,Continuous,默认,0,默认,是,配件-沟、井盖板（灰），栏杆、钢爬梯,9,252,9
